Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Ben McLemore,SAC,67,49,8.20%,0.47,23,10,34,29.4,30.9,2.00%,28.60%,0.00%,0.00%,22.40%,6.6
Beno Udrih,MEM,8,24,42.10%,0.54,13,6,16,37.5,37.5,4.20%,33.30%,4.20%,4.20%,25.00%,10.3
Blake Griffin,LAC,35,44,5.70%,1.18,52,19,32,59.4,59.4,18.20%,13.60%,18.20%,4.50%,56.80%,99
Bojan Bogdanovic,BKN,79,113,12.30%,0.76,86,33,85,38.8,41.8,8.80%,18.60%,8.00%,2.70%,35.40%,47.9
Bradley Beal,WAS,55,287,29.50%,0.81,233,97,230,42.2,46.1,6.30%,15.70%,5.60%,2.10%,37.30%,59.7
Brandon Knight,PHX,52,488,42.70%,0.74,359,136,370,36.8,41.1,7.00%,18.00%,5.50%,1.00%,33.60%,39.3
Brandon Rush,GSW,69,12,3.90%,1.17,14,6,10,60,70,0.00%,16.70%,0.00%,0.00%,50.00%,98.6
Brandon Jennings,ORL,25,80,37.70%,0.61,49,17,58,29.3,32.8,10.00%,18.80%,7.50%,2.50%,27.50%,17.2
Brian Roberts,CHA,30,67,46.20%,1.04,70,31,58,53.4,56.9,7.50%,11.90%,9.00%,7.50%,46.30%,96.6
Briante Weber,MEM,6,24,49.00%,0.58,14,7,17,41.2,41.2,0.00%,29.20%,0.00%,0.00%,29.20%,14.2
Bryce Dejean-Jones,NOP,13,12,13.50%,2,24,8,10,80,100,25.00%,0.00%,25.00%,8.30%,83.30%,100
CJ Miles,IND,64,54,7.10%,0.7,38,14,46,30.4,37,5.60%,9.30%,5.60%,0.00%,31.50%,32.8
CJ Watson,ORL,32,46,25.80%,0.72,33,13,39,33.3,34.6,8.70%,10.90%,6.50%,4.30%,32.60%,36.6
CJ McCollum,POR,80,642,37.40%,0.92,593,243,521,46.6,50.4,6.70%,13.70%,5.90%,1.60%,43.00%,85.5
Cameron Payne,OKC,56,152,45.60%,0.9,137,60,132,45.5,48.1,5.30%,9.90%,5.30%,2.00%,42.80%,82.4
Carmelo Anthony,NYK,72,218,13.10%,0.8,175,67,171,39.2,43.6,7.30%,14.70%,6.40%,0.90%,37.20%,57.2
Chandler Parsons,DAL,61,150,18.60%,0.89,133,53,111,47.7,52.3,11.30%,17.30%,10.70%,2.70%,42.00%,79.3
Chase Budinger,IND,47,21,8.60%,0.95,20,7,16,43.8,46.9,14.30%,9.50%,14.30%,0.00%,47.60%,90
Chris Paul,LAC,74,749,51.90%,0.94,705,284,604,47,50.3,7.70%,12.60%,3.90%,0.90%,44.50%,89
Chris Bosh,MIA,53,11,1.10%,0.91,10,3,8,37.5,37.5,18.20%,9.10%,18.20%,0.00%,45.50%,83.8
Christapher Johnson,UTA,63,18,7.10%,0.61,11,4,14,28.6,35.7,5.60%,16.70%,5.60%,0.00%,27.80%,16.9
Corey Brewer,HOU,82,32,4.60%,0.5,16,7,18,38.9,38.9,3.10%,40.60%,3.10%,0.00%,25.00%,8
Cory Joseph,TOR,80,354,46.20%,0.88,311,125,271,46.1,46.1,11.90%,13.00%,10.20%,1.40%,45.80%,77.6
Courtney Lee,CHA,28,43,17.00%,0.93,40,17,36,47.2,47.2,9.30%,9.30%,9.30%,2.30%,46.50%,86.6
DAngelo Russell,LAL,80,473,38.30%,0.71,338,133,347,38.3,42.1,7.40%,20.10%,6.30%,0.80%,34.50%,35.9
DJ Augustin,OKC,34,57,33.90%,0.93,53,18,40,45,52.5,10.50%,19.30%,10.50%,1.80%,40.40%,86.2
Damian Lillard,POR,75,815,43.00%,0.92,751,259,628,41.2,47.8,11.40%,13.60%,9.60%,2.30%,40.90%,84.8
Danilo Gallinari,DEN,53,116,12.00%,0.81,94,24,68,35.3,39,20.70%,21.60%,16.40%,1.70%,38.80%,59
Danny Green,SAS,79,29,4.40%,0.55,16,6,19,31.6,31.6,6.90%,27.60%,6.90%,0.00%,27.60%,12.1
Dante Cunningham,NOP,78,19,3.90%,0.58,11,4,16,25,25,10.50%,5.30%,10.50%,0.00%,31.60%,13.4
Darren Collison,SAC,74,252,25.30%,0.94,236,96,197,48.7,52.3,7.50%,15.90%,7.10%,1.60%,44.00%,88.3
Darrun Hilliard,DET,36,50,29.90%,0.64,32,14,43,32.6,33.7,6.00%,12.00%,6.00%,4.00%,30.00%,21.4
DeMar DeRozan,TOR,78,593,32.40%,0.99,588,214,445,48.1,48.3,17.00%,10.80%,15.30%,3.00%,49.70%,92.8
DeMarcus Cousins,SAC,65,22,1.20%,1,22,8,16,50,50,13.60%,13.60%,9.10%,0.00%,50.00%,94.4
DeMarre Carroll,TOR,26,30,9.30%,0.67,20,8,22,36.4,40.9,3.30%,23.30%,3.30%,0.00%,30.00%,25.4
Dennis Schroder,ATL,80,568,54.40%,0.71,403,158,417,37.9,39.9,8.60%,19.40%,6.90%,1.40%,34.90%,34.8
Deron Williams,DAL,65,280,27.60%,0.72,201,73,201,36.3,38.6,10.40%,18.90%,8.90%,1.10%,35.00%,37.2
Derrick Williams,NYK,79,38,5.10%,0.74,28,9,28,32.1,33.9,13.20%,15.80%,13.20%,2.60%,34.20%,40
Derrick Rose,CHI,66,563,43.50%,0.84,474,207,466,44.4,44.8,7.60%,12.30%,7.30%,2.70%,41.40%,68.3
Devin Harris,DAL,64,111,22.30%,0.79,88,34,75,45.3,46.7,15.30%,21.60%,12.60%,4.50%,39.60%,54.8
Devin Booker,PHX,75,304,26.80%,0.8,243,89,223,39.9,43.7,10.20%,17.80%,7.60%,1.60%,37.50%,55.5
Dion Waiters,OKC,78,228,25.40%,0.69,157,64,178,36,37.9,7.90%,15.40%,7.00%,1.30%,33.80%,30.3
Donald Sloan,BKN,61,157,32.80%,0.75,118,46,112,41.1,42.4,10.20%,21.00%,9.60%,2.50%,36.30%,45.5
Doug McDermott,CHI,81,26,3.60%,1.19,31,12,21,57.1,64.3,11.50%,11.50%,11.50%,3.80%,53.80%,99.3
Draymond Green,GSW,81,61,5.00%,0.85,52,18,38,47.4,48.7,19.70%,24.60%,18.00%,6.60%,41.00%,71.4
Dwyane Wade,MIA,74,546,34.80%,0.85,462,179,406,44.1,44.2,12.10%,14.80%,11.20%,1.50%,43.40%,69.8
ETwaun Moore,CHI,59,113,24.80%,0.8,90,42,99,42.4,43.9,2.70%,10.60%,1.80%,0.90%,38.10%,55.2
Elfrid Payton,ORL,73,342,34.80%,0.68,232,99,250,39.6,40,9.60%,19.30%,8.50%,2.00%,35.40%,27.9
Elijah Millsap,UTA,17,11,18.60%,0.73,8,1,6,16.7,16.7,27.30%,18.20%,9.10%,0.00%,36.40%,38.6
Emmanuel Mudiay,DEN,68,523,43.00%,0.64,335,134,367,36.5,38.7,8.00%,22.90%,7.30%,1.10%,31.70%,21.7
Eric Gordon,NOP,45,179,26.40%,0.95,170,59,128,46.1,53.5,10.60%,19.60%,10.10%,2.20%,41.30%,89.3
Eric Bledsoe,PHX,32,259,38.20%,0.97,252,91,190,47.9,52.6,11.20%,17.80%,9.70%,2.30%,44.00%,91.7
Evan Turner,BOS,81,315,31.50%,0.71,223,100,231,43.3,43.3,5.40%,22.50%,5.40%,1.60%,35.20%,33.8
Evan Fournier,ORL,79,255,21.80%,0.8,205,78,198,39.4,43.2,8.60%,14.90%,7.10%,1.20%,38.00%,57.6
Garrett Temple,WAS,78,61,9.80%,0.59,36,16,49,32.7,34.7,1.60%,18.00%,0.00%,0.00%,27.90%,15.5
Gary Harris,DEN,76,95,10.40%,0.8,76,31,75,41.3,43.3,7.40%,14.70%,7.40%,1.10%,38.90%,56.4
Gary Neal,WAS,40,92,24.50%,1.08,99,43,81,53.1,54.9,9.80%,6.50%,8.70%,4.30%,51.10%,97.2
George Hill,IND,74,259,28.70%,0.79,205,79,214,36.9,40.9,6.90%,12.00%,5.00%,1.50%,35.90%,54.5
Gerald Green,MIA,69,49,7.30%,0.84,41,17,40,42.5,46.3,4.10%,14.30%,4.10%,0.00%,38.80%,66.9
Gerald Henderson,POR,72,121,18.20%,0.72,87,38,102,37.3,37.7,6.60%,9.90%,6.60%,0.80%,36.40%,37.6
Giannis Antetokounmpo,MIL,80,140,10.00%,0.81,114,46,97,47.4,47.9,12.90%,21.40%,10.70%,3.60%,40.70%,60.3
Glenn Robinson III,IND,41,17,9.10%,0.29,5,2,13,15.4,15.4,5.90%,17.60%,5.90%,0.00%,17.60%,1.4
Goran Dragic,MIA,72,431,37.90%,0.79,340,145,322,45,46.4,6.70%,19.70%,6.30%,1.20%,38.70%,53.1
Gordon Hayward,UTA,80,392,24.40%,0.82,323,103,271,38,41.7,15.80%,17.30%,12.50%,2.30%,39.80%,63.8
Greivis Vasquez,MIL,23,60,31.90%,0.55,33,12,38,31.6,35.5,6.70%,31.70%,5.00%,1.70%,25.00%,11.7
Harrison Barnes,GSW,66,33,4.40%,0.94,31,15,30,50,50,3.00%,9.10%,3.00%,3.00%,45.50%,88.6
Hollis Thompson,PHI,77,52,6.60%,0.56,29,12,40,30,31.3,5.80%,19.20%,5.80%,1.90%,26.90%,12.4
Iman Shumpert,CLE,54,59,15.30%,0.75,44,21,45,46.7,46.7,3.40%,20.30%,3.40%,0.00%,39.00%,42.1
Isaiah Thomas,BOS,82,568,31.00%,0.86,487,159,412,38.6,42.6,14.40%,14.60%,10.20%,1.60%,40.80%,72.8
Isaiah Canaan,PHI,76,178,20.30%,0.76,135,41,131,31.3,38.2,11.80%,15.70%,11.20%,1.10%,33.70%,46.9
Ish Smith,NOP,26,132,45.70%,0.67,88,37,106,34.9,34.9,8.30%,12.90%,4.50%,1.50%,34.80%,25.4
J.J. Barea,DAL,74,455,52.80%,0.87,396,157,366,42.9,48.4,6.20%,14.90%,4.80%,1.50%,38.90%,75.9
JJ Redick,LAC,75,57,5.50%,0.86,49,17,40,42.5,48.8,10.50%,19.30%,8.80%,0.00%,40.40%,73.1
JR Smith,CLE,77,74,7.90%,0.68,50,20,57,35.1,36.8,8.10%,16.20%,5.40%,1.40%,32.40%,27.6
JaKarr Sampson,PHI,47,17,5.70%,0.47,8,1,9,11.1,11.1,23.50%,23.50%,17.60%,0.00%,29.40%,6.9
Jabari Parker,MIL,76,67,6.00%,0.7,47,20,53,37.7,38.7,7.50%,13.40%,7.50%,0.00%,37.30%,32.4
Jae Crowder,BOS,73,73,7.30%,0.78,57,17,53,32.1,40.6,9.60%,17.80%,8.20%,0.00%,32.90%,51.4
Jamal Crawford,LAC,79,345,29.60%,0.82,282,103,273,37.7,40.8,9.60%,13.00%,7.80%,1.70%,37.70%,60.7
Jameer Nelson,DEN,39,182,47.00%,0.66,121,46,129,35.7,41.1,4.40%,25.30%,3.80%,0.50%,29.10%,24.8
James Johnson,TOR,56,21,6.50%,0.86,18,8,18,44.4,44.4,9.50%,9.50%,9.50%,4.80%,42.90%,72.3
James Ennis,NOP,9,17,13.20%,0.82,14,4,13,30.8,42.3,11.80%,11.80%,11.80%,0.00%,35.30%,63.4
James Harden,HOU,82,606,25.90%,0.97,588,165,370,44.6,49.2,20.00%,21.50%,17.70%,2.60%,44.60%,91.4
James Anderson,SAC,41,39,16.70%,0.69,27,8,21,38.1,45.2,15.40%,33.30%,15.40%,2.60%,33.30%,31.4
Jared Cunningham,CLE,24,26,19.80%,0.35,9,2,14,14.3,14.3,15.40%,30.80%,11.50%,0.00%,23.10%,2.8
Jarrett Jack,BKN,32,217,43.90%,0.83,180,65,150,43.3,46,10.60%,21.20%,6.50%,0.90%,39.60%,64.5
Jason Terry,HOU,71,61,14.00%,0.82,50,23,48,47.9,50,1.60%,19.70%,1.60%,0.00%,39.30%,61.4
Jeff Green,LAC,27,20,6.30%,0.95,19,8,15,53.3,53.3,20.00%,15.00%,20.00%,10.00%,50.00%,89.7
Jeff Teague,ATL,79,545,40.60%,0.79,428,157,405,38.8,41.6,10.50%,16.70%,9.70%,1.70%,37.60%,52.4
Jerami Grant,PHI,77,23,2.70%,0.65,15,4,12,33.3,33.3,21.70%,30.40%,21.70%,4.30%,34.80%,23.4
Jeremy Lamb,CHA,65,145,24.30%,0.97,140,50,112,44.6,47.8,15.90%,9.70%,13.80%,2.80%,46.20%,90.7
Jeremy Lin,CHA,78,332,32.70%,0.79,262,90,235,38.3,41.7,13.00%,18.10%,8.70%,1.80%,38.30%,53.4
Jerian Grant,NYK,75,185,35.00%,0.72,134,45,120,37.5,37.9,15.10%,22.20%,14.60%,2.70%,36.20%,37.9
Jerryd Bayless,MIL,52,115,21.10%,0.79,91,36,85,42.4,44.1,9.60%,18.30%,7.80%,1.70%,39.10%,54.1
Jimmy Butler,CHI,67,436,31.70%,0.89,390,129,321,40.2,42.4,17.00%,11.70%,14.90%,2.30%,43.80%,81
Joe Johnson,MIA,24,84,27.30%,0.88,74,31,57,54.4,55.3,9.50%,23.80%,8.30%,1.20%,44.00%,77.9
Joe Ingles,UTA,77,56,15.50%,0.57,32,13,40,32.5,37.5,1.80%,25.00%,0.00%,0.00%,25.00%,13.1
John Wall,WAS,77,721,40.20%,0.73,524,225,560,40.2,42.3,5.00%,17.90%,4.40%,0.70%,35.40%,38.3
John Jenkins,PHX,21,30,26.50%,0.8,24,10,24,41.7,47.9,3.30%,20.00%,3.30%,3.30%,33.30%,56.4
Jonathan Simmons,SAS,54,52,15.80%,0.85,44,18,37,48.6,48.6,13.50%,19.20%,9.60%,3.80%,44.20%,69.8
Jordan Farmar,MEM,12,46,37.70%,1.04,48,20,41,48.8,56.1,2.20%,8.70%,0.00%,0.00%,45.70%,96.2
Jordan McRae,PHX,6,10,25.60%,0.8,8,2,5,40,50,20.00%,30.00%,20.00%,0.00%,40.00%,56.4
Jordan Hamilton,NOP,11,18,12.90%,1.17,21,8,14,57.1,71.4,5.60%,16.70%,0.00%,0.00%,50.00%,98.6
Jordan Clarkson,LAL,79,476,36.00%,0.87,413,168,383,43.9,45.7,9.50%,11.60%,8.40%,1.70%,42.60%,75.5
Jose Calderon,NYK,72,212,38.10%,0.83,176,77,179,43,45.3,4.20%,12.30%,2.80%,0.90%,39.60%,64.8
Josh Smith,HOU,23,20,9.30%,0.4,8,3,18,16.7,19.4,5.00%,5.00%,0.00%,0.00%,20.00%,3.8
Josh Richardson,MIA,50,82,24.50%,0.76,62,26,61,42.6,42.6,12.20%,14.60%,9.80%,2.40%,40.20%,46.2
Jrue Holiday,NOP,65,618,51.70%,0.87,536,213,501,42.5,45.6,8.30%,12.60%,7.10%,1.90%,40.80%,75.2
